ID_SOMAEU,siteNo,nom,secteur,region,lon,lat
MTL-1,0642-01D,0642-01D Station d'épur. CUM - Cdte de dériv. d'urgence,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.4646540034421,45.6653806815436
MTL-2,0672-01D,0672-01D T.-P. 101è avenue,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5312939846466,45.6827137586788
MTL-3,0672-02D,0672-02D S.P. Riv.-des-Prairies - T.P. d'urgence,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5217279834598,45.6942020102478
MTL-4,0672-03D,0672-03D Régul. 89è avenue (Montréal),OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5408183772808,45.6739282855525
MTL-5,3230-01D,3230-01D Ouv. de régul. St-Jean-Baptiste Nord (RdP),OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5507192572704,45.6713753198126
MTL-6,3240-01D,3240-01D S.P. 71è avenue - T.-P. d'urgence,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5605897644218,45.6645825624067
MTL-7,3240-02D,3240-02D S.P. 71è Av. - Trop-plein d'orage pompé,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5605897644218,45.6645825624067
MTL-8,3240-03D,3240-03D S.P. 71è Av. - Trop-plein d'orage gravitaire,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5605897644218,45.6645825624067
MTL-9,3240-04D,3240-04D Trop-plein Rodolphe-Forget-Gouin,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5835181183469,45.6536952366673
MTL-10,3240-05D,3240-05D Trop-plein d'urgence Bassin de rétention Perras,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.7545436720545,45.5118974935891
MTL-11,3250-01D,3250-01D Ouv. de régulation Avenue 54,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5752923782975,45.6583648949071
MTL-12,3250-02D,3250-02D Trop-plein Riv-des-Prairies/Henri-Bourassa,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5752953266139,45.6583626434178
MTL-13,3260-01D,3260-01D Ouv. de régul. Rodolphe-Forget (41è Av.),OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5834425736506,45.6536282553372
MTL-14,3270-01D,3270-01D Ouv. de régulation Avenue 25,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5982810544546,45.6441874203693
MTL-15,3275-01D,3275-01D S.P. Av 13. - Trop-plein d'orage gravitaire,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.6075624883131,45.6373671418393
MTL-16,3275-02D,3275-02D S.P. Av 13. - Trop-plein d'orage pompé,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.6075624883131,45.6373671418393
MTL-17,3280-01D,3280-01D Ouv. de régulation Marc-Aurèle-Fortin,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.6085742634312,45.636423801295
